Cohort,Asset_Count,Cohort_Total_Advance,Total_Collected,Max_Months_on_Book,Max_Cumulative_MOIC,Max_Net_MOIC,Avg_Payment_MOIC
2024-01,6,102945.0,119150.0,9,1.1574141531885958,0.15741415318859575,0.12860157257651064
2024-02,11,136095.0,181074.0,8,1.3304970792461148,0.3304970792461148,0.14783300880512387
2024-03,64,795665.0,1030222.0,12,1.2947936631622605,0.2947936631622605,0.09959951255094311
2024-04,32,368935.0,506270.0,11,1.3722471438058195,0.37224714380581947,0.11435392865048495
2024-05,16,224805.0,293500.0,9,1.3055759435955605,0.3055759435955605,0.13055759435955608
2024-06,32,447855.0,583578.0,21,1.3030512107713434,0.30305121077134345,0.05922960048960652
2024-07,20,286900.0,381188.0,9,1.328644126873475,0.328644126873475,0.1328644126873475
2024-08,28,325990.0,445617.0,16,1.3669652443326483,0.3669652443326483,0.08040972025486166
2024-09,37,408306.0,567657.0,17,1.390273471367063,0.39027347136706303,0.07723741507594795
2024-10,37,461204.0,614090.0,15,1.3314932220882734,0.33149322208827336,0.08321832638051709
2024-11,45,634639.0,661951.0,15,1.0430354894672405,0.04303548946724045,0.06518971809170253
2024-12,20,267439.0,259220.0,15,0.9692677582551535,-0.030732241744846456,0.060579234890947097
2025-09,1,9749.0,12180.0,12,1.2493589086060108,0.24935890860601084,0.0961045314312316
2025-10,1,8249.0,5390.0,4,0.6534125348527094,-0.34658746514729055,0.21780417828423648
2026-01,1,16499.0,2913.0,2,0.1765561549184799,-0.8234438450815201,0.1765561549184799
